"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Ontario","2016A000235","Employment","Total, all industries","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677513","7.2.1.1.2","857.6","","","","1"
"2020","Ontario","2016A000235","Employment","Total, all industries","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677514","7.2.1.1.3","4579.6","","","","1"
"2020","Ontario","2016A000235","Employment","Total, all industries","Both sexes","55 years and over","Persons","249","thousands","3","v19677515","7.2.1.1.4","1584.4","","","","1"
"2020","Ontario","2016A000235","Employment","Goods-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677522","7.2.2.1.2","139.6","","","","1"
"2020","Ontario","2016A000235","Employment","Goods-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677523","7.2.2.1.3","921.2","","","","1"
"2020","Ontario","2016A000235","Employment","Goods-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677524","7.2.2.1.4","350.0","","","","1"
"2020","Ontario","2016A000235","Employment","Agriculture [111-112, 1100, 1151-1152]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677531","7.2.3.1.2","12.1","","","","1"
"2020","Ontario","2016A000235","Employment","Agriculture [111-112, 1100, 1151-1152]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677532","7.2.3.1.3","34.5","","","","1"
"2020","Ontario","2016A000235","Employment","Agriculture [111-112, 1100, 1151-1152]","Both sexes","55 years and over","Persons","249","thousands","3","v19677533","7.2.3.1.4","25.2","","","","1"
"2020","Ontario","2016A000235","Employment","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677540","7.2.4.1.2","3.4","","","","1"
"2020","Ontario","2016A000235","Employment","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677541","7.2.4.1.3","23.8","","","","1"
"2020","Ontario","2016A000235","Employment","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","55 years and over","Persons","249","thousands","3","v19677542","7.2.4.1.4","8.9","","","","1"
"2020","Ontario","2016A000235","Employment","Forestry and logging and support activities for forestry [113, 1153]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677549","7.2.5.1.2","2.3","","","","1"
"2020","Ontario","2016A000235","Employment","Forestry and logging and support activities for forestry [113, 1153]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677550","7.2.5.1.3","4.8","","","","1"
"2020","Ontario","2016A000235","Employment","Forestry and logging and support activities for forestry [113, 1153]","Both sexes","55 years and over","Persons","249","thousands","3","v19677551","7.2.5.1.4","","x","","","1"
"2020","Ontario","2016A000235","Employment","Fishing, hunting and trapping [114]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677558","7.2.6.1.2","","x","","","1"
"2020","Ontario","2016A000235","Employment","Fishing, hunting and trapping [114]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677559","7.2.6.1.3","","x","","","1"
"2020","Ontario","2016A000235","Employment","Fishing, hunting and trapping [114]","Both sexes","55 years and over","Persons","249","thousands","3","v19677560","7.2.6.1.4","","x","","","1"
"2020","Ontario","2016A000235","Employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677567","7.2.7.1.2","","x","","","1"
"2020","Ontario","2016A000235","Employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677568","7.2.7.1.3","18.7","","","","1"
"2020","Ontario","2016A000235","Employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Both sexes","55 years and over","Persons","249","thousands","3","v19677569","7.2.7.1.4","6.8","","","","1"
"2020","Ontario","2016A000235","Employment","Utilities [22]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677576","7.2.8.1.2","2.5","","","","1"
"2020","Ontario","2016A000235","Employment","Utilities [22]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677577","7.2.8.1.3","36.5","","","","1"
"2020","Ontario","2016A000235","Employment","Utilities [22]","Both sexes","55 years and over","Persons","249","thousands","3","v19677578","7.2.8.1.4","11.5","","","","1"
"2020","Ontario","2016A000235","Employment","Construction [23]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677585","7.2.9.1.2","66.1","","","","1"
"2020","Ontario","2016A000235","Employment","Construction [23]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677586","7.2.9.1.3","344.1","","","","1"
"2020","Ontario","2016A000235","Employment","Construction [23]","Both sexes","55 years and over","Persons","249","thousands","3","v19677587","7.2.9.1.4","104.6","","","","1"
"2020","Ontario","2016A000235","Employment","Manufacturing [31-33]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677594","7.2.10.1.2","55.5","","","","1"
"2020","Ontario","2016A000235","Employment","Manufacturing [31-33]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677595","7.2.10.1.3","482.2","","","","1"
"2020","Ontario","2016A000235","Employment","Manufacturing [31-33]","Both sexes","55 years and over","Persons","249","thousands","3","v19677596","7.2.10.1.4","199.8","","","","1"
"2020","Ontario","2016A000235","Employment","Durables [321, 327, 331-339]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677603","7.2.11.1.2","32.3","","","","1"
"2020","Ontario","2016A000235","Employment","Durables [321, 327, 331-339]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677604","7.2.11.1.3","308.8","","","","1"
"2020","Ontario","2016A000235","Employment","Durables [321, 327, 331-339]","Both sexes","55 years and over","Persons","249","thousands","3","v19677605","7.2.11.1.4","125.9","","","","1"
"2020","Ontario","2016A000235","Employment","Non-durables [311-316, 322-326]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677612","7.2.12.1.2","23.2","","","","1"
"2020","Ontario","2016A000235","Employment","Non-durables [311-316, 322-326]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677613","7.2.12.1.3","173.5","","","","1"
"2020","Ontario","2016A000235","Employment","Non-durables [311-316, 322-326]","Both sexes","55 years and over","Persons","249","thousands","3","v19677614","7.2.12.1.4","73.9","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","718.0","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3658.5","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1234.4","","","","1"
"2020","Ontario","2016A000235","Employment","Wholesale and retail trade [41, 44-45]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677630","7.2.14.1.2","243.5","","","","1"
"2020","Ontario","2016A000235","Employment","Wholesale and retail trade [41, 44-45]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677631","7.2.14.1.3","544.9","","","","1"
"2020","Ontario","2016A000235","Employment","Wholesale and retail trade [41, 44-45]","Both sexes","55 years and over","Persons","249","thousands","3","v19677632","7.2.14.1.4","235.3","","","","1"
"2020","Ontario","2016A000235","Employment","Wholesale trade [41]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677639","7.2.15.1.2","17.2","","","","1"
"2020","Ontario","2016A000235","Employment","Wholesale trade [41]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677640","7.2.15.1.3","146.5","","","","1"
"2020","Ontario","2016A000235","Employment","Wholesale trade [41]","Both sexes","55 years and over","Persons","249","thousands","3","v19677641","7.2.15.1.4","71.3","","","","1"
"2020","Ontario","2016A000235","Employment","Retail trade [44-45]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677648","7.2.16.1.2","226.4","","","","1"
"2020","Ontario","2016A000235","Employment","Retail trade [44-45]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677649","7.2.16.1.3","398.4","","","","1"
"2020","Ontario","2016A000235","Employment","Retail trade [44-45]","Both sexes","55 years and over","Persons","249","thousands","3","v19677650","7.2.16.1.4","164.0","","","","1"
"2020","Ontario","2016A000235","Employment","Transportation and warehousing [48-49]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677657","7.2.17.1.2","18.8","","","","1"
"2020","Ontario","2016A000235","Employment","Transportation and warehousing [48-49]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677658","7.2.17.1.3","234.8","","","","1"
"2020","Ontario","2016A000235","Employment","Transportation and warehousing [48-49]","Both sexes","55 years and over","Persons","249","thousands","3","v19677659","7.2.17.1.4","103.9","","","","1"
"2020","Ontario","2016A000235","Employment","Finance, insurance, real estate, rental and leasing [52, 53]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677666","7.2.18.1.2","28.1","","","","1"
"2020","Ontario","2016A000235","Employment","Finance, insurance, real estate, rental and leasing [52, 53]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677667","7.2.18.1.3","443.7","","","","1"
"2020","Ontario","2016A000235","Employment","Finance, insurance, real estate, rental and leasing [52, 53]","Both sexes","55 years and over","Persons","249","thousands","3","v19677668","7.2.18.1.4","135.4","","","","1"
"2020","Ontario","2016A000235","Employment","Finance and insurance [52]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677675","7.2.19.1.2","22.8","","","","1"
"2020","Ontario","2016A000235","Employment","Finance and insurance [52]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677676","7.2.19.1.3","351.6","","","","1"
"2020","Ontario","2016A000235","Employment","Finance and insurance [52]","Both sexes","55 years and over","Persons","249","thousands","3","v19677677","7.2.19.1.4","81.0","","","","1"
"2020","Ontario","2016A000235","Employment","Real estate and rental and leasing [53]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677684","7.2.20.1.2","5.3","","","","1"
"2020","Ontario","2016A000235","Employment","Real estate and rental and leasing [53]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677685","7.2.20.1.3","92.1","","","","1"
"2020","Ontario","2016A000235","Employment","Real estate and rental and leasing [53]","Both sexes","55 years and over","Persons","249","thousands","3","v19677686","7.2.20.1.4","54.4","","","","1"
"2020","Ontario","2016A000235","Employment","Professional, scientific and technical services [54]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677693","7.2.21.1.2","52.0","","","","1"
"2020","Ontario","2016A000235","Employment","Professional, scientific and technical services [54]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677694","7.2.21.1.3","473.1","","","","1"
"2020","Ontario","2016A000235","Employment","Professional, scientific and technical services [54]","Both sexes","55 years and over","Persons","249","thousands","3","v19677695","7.2.21.1.4","139.7","","","","1"
"2020","Ontario","2016A000235","Employment","Business, building and other support services [55, 56]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677702","7.2.22.1.2","32.8","","","","1"
"2020","Ontario","2016A000235","Employment","Business, building and other support services [55, 56]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677703","7.2.22.1.3","181.1","","","","1"
"2020","Ontario","2016A000235","Employment","Business, building and other support services [55, 56]","Both sexes","55 years and over","Persons","249","thousands","3","v19677704","7.2.22.1.4","81.0","","","","1"
"2020","Ontario","2016A000235","Employment","Educational services [61]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677711","7.2.23.1.2","47.1","","","","1"
"2020","Ontario","2016A000235","Employment","Educational services [61]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677712","7.2.23.1.3","361.4","","","","1"
"2020","Ontario","2016A000235","Employment","Educational services [61]","Both sexes","55 years and over","Persons","249","thousands","3","v19677713","7.2.23.1.4","107.4","","","","1"
"2020","Ontario","2016A000235","Employment","Health care and social assistance [62]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677720","7.2.24.1.2","67.1","","","","1"
"2020","Ontario","2016A000235","Employment","Health care and social assistance [62]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677721","7.2.24.1.3","610.3","","","","1"
"2020","Ontario","2016A000235","Employment","Health care and social assistance [62]","Both sexes","55 years and over","Persons","249","thousands","3","v19677722","7.2.24.1.4","192.5","","","","1"
"2020","Ontario","2016A000235","Employment","Information, culture and recreation [51, 71]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677729","7.2.25.1.2","43.5","","","","1"
"2020","Ontario","2016A000235","Employment","Information, culture and recreation [51, 71]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677730","7.2.25.1.3","181.1","","","","1"
"2020","Ontario","2016A000235","Employment","Information, culture and recreation [51, 71]","Both sexes","55 years and over","Persons","249","thousands","3","v19677731","7.2.25.1.4","47.4","","","","1"
"2020","Ontario","2016A000235","Employment","Accommodation and food services [72]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677738","7.2.26.1.2","133.8","","","","1"
"2020","Ontario","2016A000235","Employment","Accommodation and food services [72]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677739","7.2.26.1.3","164.6","","","","1"
"2020","Ontario","2016A000235","Employment","Accommodation and food services [72]","Both sexes","55 years and over","Persons","249","thousands","3","v19677740","7.2.26.1.4","39.9","","","","1"
"2020","Ontario","2016A000235","Employment","Other services (except public administration) [81]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677747","7.2.27.1.2","29.7","","","","1"
"2020","Ontario","2016A000235","Employment","Other services (except public administration) [81]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677748","7.2.27.1.3","174.7","","","","1"
"2020","Ontario","2016A000235","Employment","Other services (except public administration) [81]","Both sexes","55 years and over","Persons","249","thousands","3","v19677749","7.2.27.1.4","80.7","","","","1"
"2020","Ontario","2016A000235","Employment","Public administration [91]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677756","7.2.28.1.2","21.6","","","","1"
"2020","Ontario","2016A000235","Employment","Public administration [91]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677757","7.2.28.1.3","288.9","","","","1"
"2020","Ontario","2016A000235","Employment","Public administration [91]","Both sexes","55 years and over","Persons","249","thousands","3","v19677758","7.2.28.1.4","71.3","","","","1"


